"year","month","u10","v10","mx2t","mn2t","tcc","t2","msl","t","q","u","v","z","SPI","grid_ID"
1979,1,-2.9585862994194,-0.634959060698748,309.023720296224,297.283986409505,0.291987556447445,302.992399088542,100796.767708333,299.970612589518,0.00849272000292937,-4.56846090555191,-2.83955126355092,459.991747538249,-0.715037310657508,303
1979,10,-0.0493600765363343,-0.113635492901648,302.851482760522,289.459346648185,0.192154295679845,296.133313578944,101346.796370968,293.335081038936,0.00481325450668772,-2.37245714177768,-3.72175465139651,904.832294094947,-0.246504201108572,303
1979,11,-0.404196750000119,-0.341807861750325,308.17416788737,294.707881673177,0.306702507783969,301.354576619466,101135.556510417,298.360025024414,0.00554513917304575,-2.79456531951825,-3.71522020300229,751.517519124349,-0.921090202518204,303
1979,12,-1.08917188704495,-0.600054748116001,310.344489312941,296.948569020917,0.327174602738289,303.544370589718,100999.285534274,300.545961441532,0.00632384891111043,-3.42989505106403,-3.68717807242947,622.386996361517,-0.917537207707833,303
1979,2,-2.16072737425566,-0.715109185182622,303.806691850935,294.09389604841,0.50247905247878,298.759323120117,101125.883928571,297.11491721017,0.00992300208391888,-3.89243821267571,-2.94333210853594,778.958110809326,0.631925917555621,303
1979,3,-1.09455184061681,0.177123825636602,304.642571233934,292.30380445911,0.240658262455385,298.317261726626,101149.326864919,296.690830353768,0.00757730166397748,-2.81806985985848,-2.27198988343439,778.296686234013,-0.183188366040214,303
1979,4,-0.84472433552146,0.173197232931852,301.880866495768,290.401049804687,0.386204037508772,295.857034301758,101532.200520833,293.996882120768,0.00664692624316861,-2.39884833097458,-2.09365185896556,1109.12987874349,-0.179882409666421,303
1979,5,-1.0699229754147,1.25829511977011,293.976185460244,283.664360784715,0.39330417322884,288.271427277596,101978.689264113,287.407731579196,0.00590559829687399,-2.3864886648953,-0.489189494040705,1467.29457929057,0.566633517760054,303
1979,6,-1.35958838711182,0.555043650915225,293.910525512695,282.459231567383,0.281412008788902,287.67682800293,102096.051822917,287.307771809896,0.00545070950562755,-2.48541085769733,-1.33374463965495,1582.49556070964,-0.289461654299076,303
1979,7,-1.07814305083406,0.902460153124505,292.153382332094,278.805875716671,0.0799967031717026,285.057086575416,102283.450856855,284.523974018712,0.00354301021434366,-2.4739883868925,-1.11455041473551,1695.12740596648,-1.09954549181798,303
1979,8,-0.253860642472582,0.349180311445267,295.360630158455,281.83829522902,0.173820335824031,288.129106090915,101913.483618952,286.752547725554,0.00386611484141359,-1.82866888998016,-1.9579765032376,1386.17235540575,-0.325952292076089,303
1979,9,-0.645068107793728,-0.685323296906427,299.470212809245,286.672471110026,0.230299541847004,292.807969156901,101766.214322917,290.07837117513,0.00513667977259804,-2.37841173609098,-3.90605721324682,1274.93044637044,0.593817392149217,303
1980,1,-0.201754465218513,-0.623165774729944,309.330390191847,297.102636521862,0.312961449431896,302.970026816091,100669.182459677,300.403373472152,0.00720444785040472,-2.5063187806837,-3.40657779814736,365.977192955632,-0.559891850658767,303
1980,10,-0.388121553967076,-0.415598561686854,303.405620944115,291.039934712072,0.275592824909836,296.973428049395,101364.997227823,294.596162857548,0.0066052611181212,-2.63220585341896,-3.22280065090426,960.100866502331,1.39980018060371,303
1980,11,-0.753911093870799,-0.576590696970622,307.029682413737,293.860885620117,0.184343996908501,300.264339192708,101172.854166667,297.258290608724,0.00544099948989848,-3.07137602219979,-3.72694232215484,793.013513183594,-1.26258098322734,303
1980,12,-0.949352091358554,-0.522994998001283,307.234491163684,294.456249606225,0.266728927229246,300.618924048639,101025.175403226,297.774844261908,0.00683852140941927,-3.13351194608596,-3.52971708197748,656.331287507088,-0.373703478816757,303
1980,2,-1.67353921608421,-0.15631002855712,307.071023875269,296.039870689655,0.327384545345357,301.319549560547,100828.719019397,299.171562457907,0.00990594435354759,-3.47602145425205,-2.96687012910843,516.011014741043,0.450208080991043,303
1980,3,-1.5378150099911,0.1014879701599,304.130677253969,292.616383214151,0.262862008889516,297.989165275328,101315.6796875,296.418838008758,0.00818732310266744,-3.15844827121304,-2.36743035335695,926.658515191847,0.802219860700213,303
1980,4,-1.82343389168382,0.421648324777683,301.407656860352,289.582322184245,0.374249842046508,295.153749593099,101716.274739583,293.371696980794,0.00558436140418052,-3.21098403930664,-2.18105169472595,1263.20149536133,-0.132489325911268,303
1980,5,-1.37716727872049,0.871907869173634,297.335882371472,286.202845419607,0.332667236519756,291.363225137034,101880.5703125,290.325359713647,0.00605588617374099,-2.7389992936965,-1.05801073654044,1403.39698250063,0.824938019816946,303
1980,6,-0.819210556770364,0.86729628443718,291.79841003418,280.497951253255,0.213060032677307,285.672475179036,102054.18828125,285.072712198893,0.00504291931477685,-2.17074669742336,-0.765513954932491,1537.13465372721,-1.60684081583552,303
1980,7,-0.54510781048016,0.988934173579178,290.728170087261,279.554946407195,0.305053443690403,284.633826471144,102012.735887097,284.120318997291,0.00469317288708782,-2.01434325402783,-0.850772231216392,1494.58574258128,0.772358952683061,303
1980,8,-1.43933340378346,0.046454266675057,294.747294764365,282.137124338458,0.159534048490352,288.202446722215,102239.667590726,287.11325171686,0.00459747440031459,-2.73254956112754,-2.29005082215994,1698.84318099483,-0.113530804969639,303
1980,9,-0.170929615323742,0.643259876966476,301.150361124674,285.577701822917,0.0543547543898361,293.081444295247,101787.791666667,291.516460164388,0.00343668547769387,-2.21314381857713,-2.09239502623677,1312.51161905924,-1.10538519536068,303
1981,1,-2.04450621143464,-1.2602600517172,305.600812358241,295.668217812815,0.469361565706711,300.846398138231,100998.022681452,298.046274492818,0.0094983470926602,-3.70931314845239,-3.53798099102512,640.657855618385,0.218274924735858,303
1981,10,-0.709843750592441,-0.625578037192745,300.752650107107,288.375588693926,0.233900325019344,294.45213859312,101574.202872984,291.985422442036,0.00559045030404963,-2.58903575712635,-3.68294279613802,1119.60407527801,0.337913493205311,303
1981,11,-0.59823820196713,0.460078916077812,303.196919759115,291.211049397786,0.361250245897099,297.200472005208,101030.105989583,295.282751464844,0.00759588339521239,-2.8735069056352,-2.27940192768971,689.018483988444,0.762615628615638,303
